=====================================================================
testing with 2048 points.

> created 2048 random points in 0.000121 seconds.
> created a mtree with 2048 random points in 2.960280 minutes | (177.616798 seconds) with height 3.
> found 2/2048 points with Q:(0.743821, 0.790972) and r=0.02 | I/O = 14 | in 0.000023 seconds.
> found 3/2048 points with Q:(0.338793, 0.298244) and r=0.02 | I/O = 14 | in 0.000008 seconds.
> found 2/2048 points with Q:(0.390347, 0.349121) and r=0.02 | I/O = 14 | in 0.000008 seconds.
> found 1/2048 points with Q:(0.765006, 0.517945) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.906418, 0.107841) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 5/2048 points with Q:(0.695499, 0.565715) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 0/2048 points with Q:(0.712972, 0.270971) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.33424, 0.671835) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.83248, 0.377361) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.675947, 0.347548) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.485874, 0.767962) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 5/2048 points with Q:(0.690755, 0.362697) and r=0.02 | I/O = 14 | in 0.000008 seconds.
> found 3/2048 points with Q:(0.655137, 0.624433) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.822253, 0.875418) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.00834146, 0.171691) and r=0.02 | I/O = 14 | in 0.000008 seconds.
> found 6/2048 points with Q:(0.962664, 0.519269) and r=0.02 | I/O = 14 | in 0.000008 seconds.
> found 1/2048 points with Q:(0.817512, 0.752162) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.101283, 0.301456) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 0/2048 points with Q:(0.819402, 0.207859) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.3157, 0.866289) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 4/2048 points with Q:(0.432004, 0.72582) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 0/2048 points with Q:(0.996791, 0.011199) and r=0.02 | I/O = 11 | in 0.000006 seconds.
> found 1/2048 points with Q:(0.683034, 0.144976) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 5/2048 points with Q:(0.522337, 0.331031) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.678579, 0.515514) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.283475, 0.198285) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.560981, 0.164453) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 0/2048 points with Q:(0.788886, 0.97423) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.849649, 0.216119) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.38781, 0.611139) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.130408, 0.85799) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.610152, 0.350473) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 4/2048 points with Q:(0.651929, 0.94792) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 5/2048 points with Q:(0.155779, 0.711435) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.577724, 0.471331) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 0/2048 points with Q:(0.19715, 0.471479) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 4/2048 points with Q:(0.482678, 0.00972766) and r=0.02 | I/O = 14 | in 0.000008 seconds.
> found 0/2048 points with Q:(0.154703, 0.193941) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 0/2048 points with Q:(0.524972, 0.165712) and r=0.02 | I/O = 14 | in 0.000009 seconds.
> found 2/2048 points with Q:(0.681226, 0.677041) and r=0.02 | I/O = 14 | in 0.000008 seconds.
> found 1/2048 points with Q:(0.875325, 0.203551) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.368004, 0.964701) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.938932, 0.436306) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 0/2048 points with Q:(0.652425, 0.15689) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.768029, 0.78858) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.64657, 0.0402345) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.390708, 0.898437) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.846357, 0.256722) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.968157, 0.0426369) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 4/2048 points with Q:(0.513968, 0.00213614) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 0/2048 points with Q:(0.473615, 0.545881) and r=0.02 | I/O = 14 | in 0.000007 seconds.
