=====================================================================
testing with 2048 points.

> created 2048 random points in 0.000124 seconds.
> created a mtree with 2048 random points in 2.915354 minutes | (174.921211 seconds) with height 2.
> found 1/2048 points with Q:(0.89611, 0.505876) and r=0.02 | I/O = 13 | in 0.000028 seconds.
> found 1/2048 points with Q:(0.548075, 0.439975) and r=0.02 | I/O = 13 | in 0.000008 seconds.
> found 3/2048 points with Q:(0.0798066, 0.209163) and r=0.02 | I/O = 13 | in 0.000008 seconds.
> found 1/2048 points with Q:(0.148442, 0.355986) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.867871, 0.49391) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.558805, 0.549768) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 4/2048 points with Q:(0.609744, 0.939023) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.0704613, 0.404016) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.123813, 0.886698) and r=0.02 | I/O = 14 | in 0.000008 seconds.
> found 1/2048 points with Q:(0.79854, 0.727044) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.0178721, 0.157108) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 4/2048 points with Q:(0.105192, 0.632112) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 4/2048 points with Q:(0.92062, 0.722991) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 9/2048 points with Q:(0.922899, 0.0885953) and r=0.02 | I/O = 12 | in 0.000007 seconds.
> found 4/2048 points with Q:(0.10222, 0.211023) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.716899, 0.760651) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 4/2048 points with Q:(0.200627, 0.99833) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 4/2048 points with Q:(0.207493, 0.264974) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.62096, 0.280433) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 6/2048 points with Q:(0.774343, 0.355935) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 0/2048 points with Q:(0.905704, 0.488831) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 4/2048 points with Q:(0.427854, 0.333148) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.737164, 0.515447) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.402145, 0.498315) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 5/2048 points with Q:(0.22536, 0.860977) and r=0.02 | I/O = 14 | in 0.000008 seconds.
> found 1/2048 points with Q:(0.0180845, 0.200684) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 5/2048 points with Q:(0.832797, 0.243232) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 4/2048 points with Q:(0.966222, 0.123277) and r=0.02 | I/O = 12 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.211872, 0.753416) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.96444, 0.889122) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 5/2048 points with Q:(0.649773, 0.314092) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.312422, 0.681339) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.946313, 0.8504) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 0/2048 points with Q:(0.130833, 0.519915) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.87585, 0.567273) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 4/2048 points with Q:(0.056104, 0.905176) and r=0.02 | I/O = 13 | in 0.000007 seconds.
> found 4/2048 points with Q:(0.238324, 0.781554) and r=0.02 | I/O = 13 | in 0.000007 seconds.
