=====================================================================
testing with 1024 points.

> created 1024 random points in 0.000060 seconds.
> created a mtree with 1024 random points in 29.629960 seconds with height 2.
> found 2/1024 points with Q:(0.75679, 0.151298) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.389512, 0.337594) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.163015, 0.269126) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.824718, 0.622924) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.803132, 0.305355) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.431441, 0.229114) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.0939526, 0.612142) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 3/1024 points with Q:(0.397126, 0.55137) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.680578, 0.892533) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.959256, 0.109976) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.692716, 0.998211) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.0188366, 0.242195) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.12423, 0.235195) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.933857, 0.352769) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.228151, 0.294025) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.445323, 0.0192785) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.356872, 0.984941) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.254067, 0.834834) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.457758, 0.519887) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.825241, 0.0787855) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.307899, 0.26089) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.873032, 0.256683) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 3/1024 points with Q:(0.808053, 0.401852) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.294385, 0.270159) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.380134, 0.488631) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.486842, 0.25364) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.495836, 0.0728501) and r=0.02 | I/O = 7 | in 0.000038 seconds.
> found 0/1024 points with Q:(0.308045, 0.505679) and r=0.02 | I/O = 8 | in 0.000005 seconds.
> found 2/1024 points with Q:(0.858448, 0.620066) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.914091, 0.241902) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.261181, 0.0865995) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.0715402, 0.359414) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 3/1024 points with Q:(0.194248, 0.618053) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.137939, 0.325607) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.404393, 0.652006) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 3/1024 points with Q:(0.912896, 0.963181) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 3/1024 points with Q:(0.219864, 0.712292) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.114144, 0.785929) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.0560873, 0.0279167) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.516548, 0.408529) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.662169, 0.436222) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.509072, 0.00339002) and r=0.02 | I/O = 7 | in 0.000004 seconds.

percentage of foundness 0.108398% | avg I/O: 7.44



> main finished after 29.630540 seconds
