=====================================================================
testing with 2048 points.

> created 2048 random points in 0.000122 seconds.
> created a mtree with 2048 random points in 2.984340 minutes | (179.060414 seconds) with height 3.
> found 3/2048 points with Q:(0.886598, 0.293892) and r=0.02 | I/O = 14 | in 0.000025 seconds.
> found 2/2048 points with Q:(0.544807, 0.177996) and r=0.02 | I/O = 14 | in 0.000008 seconds.
> found 2/2048 points with Q:(0.317125, 0.198209) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 5/2048 points with Q:(0.579726, 0.971924) and r=0.02 | I/O = 14 | in 0.000008 seconds.
> found 0/2048 points with Q:(0.859874, 0.935626) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.568534, 0.2419) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.128199, 0.577288) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.459404, 0.571986) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.313119, 0.159354) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.544962, 0.979487) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.0338413, 0.338603) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.264825, 0.152608) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.772458, 0.235718) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.409427, 0.380734) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.276344, 0.937097) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.23099, 0.968014) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.14601, 0.162943) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.361151, 0.775797) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 4/2048 points with Q:(0.747721, 0.463135) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.398761, 0.940877) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.182777, 0.607595) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.184883, 0.967296) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.539282, 0.310976) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 4/2048 points with Q:(0.47033, 0.644287) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.623774, 0.852401) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 6/2048 points with Q:(0.191003, 0.015292) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.1679, 0.657615) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.893334, 0.455828) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 0/2048 points with Q:(0.836562, 0.940357) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.877454, 0.30276) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.270774, 0.112906) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.275848, 0.108444) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 4/2048 points with Q:(0.884241, 0.416784) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.879919, 0.637) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 0/2048 points with Q:(0.577876, 0.631963) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.239558, 0.27868) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.245976, 0.760653) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.0716296, 0.42444) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.0687273, 0.785258) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.637659, 0.54196) and r=0.02 | I/O = 14 | in 0.000010 seconds.
> found 3/2048 points with Q:(0.557252, 0.692501) and r=0.02 | I/O = 14 | in 0.000008 seconds.
> found 6/2048 points with Q:(0.350117, 0.828662) and r=0.02 | I/O = 14 | in 0.000008 seconds.
> found 3/2048 points with Q:(0.28449, 0.725152) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.665509, 0.24345) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.546211, 0.121052) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.233958, 0.542963) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.651407, 0.816985) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 5/2048 points with Q:(0.233769, 0.509806) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 0/2048 points with Q:(0.146806, 0.535649) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 6/2048 points with Q:(0.167611, 0.113689) and r=0.02 | I/O = 14 | in 0.000008 seconds.
> found 1/2048 points with Q:(0.392369, 0.724682) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 5/2048 points with Q:(0.485336, 0.407169) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.831609, 0.638345) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 5/2048 points with Q:(0.423603, 0.556965) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.0989251, 0.900336) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.592838, 0.0612617) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.889924, 0.656177) and r=0.02 | I/O = 14 | in 0.000008 seconds.
> found 3/2048 points with Q:(0.381329, 0.942954) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.186405, 0.174414) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.295466, 0.0468374) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.589801, 0.732616) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.549601, 0.529424) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 4/2048 points with Q:(0.0392304, 0.241208) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.776857, 0.78337) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.897059, 0.186036) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.910718, 0.944468) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.351637, 0.289428) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 4/2048 points with Q:(0.927773, 0.396054) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.953019, 0.183246) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.0835827, 0.351376) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.412638, 0.0519443) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.708121, 0.67642) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 0/2048 points with Q:(0.619375, 0.302562) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.476976, 0.0894498) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 8/2048 points with Q:(0.136287, 0.80578) and r=0.02 | I/O = 14 | in 0.000008 seconds.
> found 4/2048 points with Q:(0.538396, 0.772442) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 4/2048 points with Q:(0.301866, 0.726088) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 0/2048 points with Q:(0.967296, 0.0879964) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.871367, 0.341097) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.527133, 0.744153) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.688622, 0.768425) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 0/2048 points with Q:(0.0578534, 0.437851) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.833905, 0.0402585) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.223505, 0.985627) and r=0.02 | I/O = 14 | in 0.000044 seconds.
> found 2/2048 points with Q:(0.337003, 0.786925) and r=0.02 | I/O = 14 | in 0.000008 seconds.
> found 4/2048 points with Q:(0.838869, 0.307087) and r=0.02 | I/O = 14 | in 0.000008 seconds.
> found 1/2048 points with Q:(0.983508, 0.749641) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.0522024, 0.54699) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.63644, 0.602883) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.408663, 0.529178) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.301621, 0.772727) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.498815, 0.947058) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.0350546, 0.603487) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 6/2048 points with Q:(0.944584, 0.466112) and r=0.02 | I/O = 14 | in 0.000008 seconds.
> found 5/2048 points with Q:(0.210265, 0.906421) and r=0.02 | I/O = 14 | in 0.000008 seconds.
> found 1/2048 points with Q:(0.674847, 0.471717) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 0/2048 points with Q:(0.909568, 0.898887) and r=0.02 | I/O = 14 | in 0.000007 seconds.
