=====================================================================
testing with 8192 points.

> created 8192 random points in 0.000464 seconds.
> created a mtree with 8192 random points in 2.277179 hours | (136.630738 minutes) with height 3.
> found 4/8192 points with Q:(0.712152, 0.657529) and r=0.02 | I/O = 50 | in 0.000032 seconds.
> found 11/8192 points with Q:(0.0462436, 0.549341) and r=0.02 | I/O = 50 | in 0.000030 seconds.
> found 14/8192 points with Q:(0.894955, 0.66548) and r=0.02 | I/O = 50 | in 0.000029 seconds.
> found 9/8192 points with Q:(0.0360883, 0.0798477) and r=0.02 | I/O = 48 | in 0.000030 seconds.
> found 10/8192 points with Q:(0.8322, 0.666359) and r=0.02 | I/O = 50 | in 0.000028 seconds.
> found 12/8192 points with Q:(0.959691, 0.593495) and r=0.02 | I/O = 50 | in 0.000032 seconds.
> found 9/8192 points with Q:(0.896634, 0.491917) and r=0.02 | I/O = 50 | in 0.000028 seconds.
> found 14/8192 points with Q:(0.591223, 0.758106) and r=0.02 | I/O = 50 | in 0.000028 seconds.
> found 15/8192 points with Q:(0.102793, 0.105427) and r=0.02 | I/O = 49 | in 0.000030 seconds.
> found 16/8192 points with Q:(0.310153, 0.536219) and r=0.02 | I/O = 50 | in 0.000028 seconds.
> found 11/8192 points with Q:(0.273435, 0.243334) and r=0.02 | I/O = 50 | in 0.000030 seconds.
> found 15/8192 points with Q:(0.0204543, 0.5466) and r=0.02 | I/O = 50 | in 0.000028 seconds.
> found 9/8192 points with Q:(0.105742, 0.696303) and r=0.02 | I/O = 50 | in 0.000030 seconds.
> found 11/8192 points with Q:(0.0319748, 0.211062) and r=0.02 | I/O = 49 | in 0.000028 seconds.
> found 11/8192 points with Q:(0.600809, 0.418565) and r=0.02 | I/O = 50 | in 0.000028 seconds.
> found 13/8192 points with Q:(0.0760945, 0.106503) and r=0.02 | I/O = 49 | in 0.000030 seconds.
> found 14/8192 points with Q:(0.655845, 0.312961) and r=0.02 | I/O = 50 | in 0.000028 seconds.
> found 7/8192 points with Q:(0.978441, 0.122338) and r=0.02 | I/O = 50 | in 0.000030 seconds.
> found 11/8192 points with Q:(0.202186, 0.5508) and r=0.02 | I/O = 50 | in 0.000028 seconds.
> found 10/8192 points with Q:(0.217159, 0.0145297) and r=0.02 | I/O = 49 | in 0.000028 seconds.
> found 9/8192 points with Q:(0.608024, 0.0343856) and r=0.02 | I/O = 50 | in 0.000030 seconds.
> found 9/8192 points with Q:(0.526303, 0.17685) and r=0.02 | I/O = 50 | in 0.000028 seconds.
> found 6/8192 points with Q:(0.934956, 0.504659) and r=0.02 | I/O = 50 | in 0.000030 seconds.
> found 13/8192 points with Q:(0.610086, 0.117526) and r=0.02 | I/O = 50 | in 0.000028 seconds.
> found 10/8192 points with Q:(0.653745, 0.0377493) and r=0.02 | I/O = 50 | in 0.000030 seconds.
> found 6/8192 points with Q:(0.281083, 0.920239) and r=0.02 | I/O = 50 | in 0.000065 seconds.
> found 11/8192 points with Q:(0.466839, 0.92718) and r=0.02 | I/O = 50 | in 0.000029 seconds.
> found 7/8192 points with Q:(0.623483, 0.301537) and r=0.02 | I/O = 50 | in 0.000031 seconds.
> found 12/8192 points with Q:(0.512599, 0.572581) and r=0.02 | I/O = 50 | in 0.000028 seconds.
> found 5/8192 points with Q:(0.991146, 0.655458) and r=0.02 | I/O = 50 | in 0.000030 seconds.
