=====================================================================
testing with 8192 points.

> created 8192 random points in 0.000475 seconds.
> created a mtree with 8192 random points in 2.186468 hours | (131.188051 minutes) with height 2.
> found 10/8192 points with Q:(0.520053, 0.984507) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 13/8192 points with Q:(0.953099, 0.0480995) and r=0.02 | I/O = 48 | in 0.000026 seconds.
> found 6/8192 points with Q:(0.553578, 0.834823) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 13/8192 points with Q:(0.797117, 0.572753) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 13/8192 points with Q:(0.815553, 0.0486142) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 6/8192 points with Q:(0.289323, 0.95287) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 11/8192 points with Q:(0.820756, 0.644596) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 6/8192 points with Q:(0.434816, 0.747433) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 17/8192 points with Q:(0.395471, 0.347471) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 10/8192 points with Q:(0.558184, 0.418314) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 8/8192 points with Q:(0.682494, 0.841253) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 12/8192 points with Q:(0.0776257, 0.0609372) and r=0.02 | I/O = 46 | in 0.000026 seconds.
> found 11/8192 points with Q:(0.143807, 0.984246) and r=0.02 | I/O = 49 | in 0.000027 seconds.
> found 14/8192 points with Q:(0.986598, 0.446094) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 10/8192 points with Q:(0.0727983, 0.352027) and r=0.02 | I/O = 49 | in 0.000027 seconds.
> found 6/8192 points with Q:(0.336534, 0.888792) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 7/8192 points with Q:(0.936891, 0.592851) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 13/8192 points with Q:(0.427674, 0.289633) and r=0.02 | I/O = 50 | in 0.000031 seconds.
> found 10/8192 points with Q:(0.862386, 0.490469) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 6/8192 points with Q:(0.539083, 0.224791) and r=0.02 | I/O = 50 | in 0.000029 seconds.
> found 15/8192 points with Q:(0.177661, 0.677939) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 12/8192 points with Q:(0.322535, 0.828406) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 10/8192 points with Q:(0.57584, 0.998417) and r=0.02 | I/O = 50 | in 0.000029 seconds.
> found 7/8192 points with Q:(0.345888, 0.757351) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 10/8192 points with Q:(0.175665, 0.971311) and r=0.02 | I/O = 50 | in 0.000029 seconds.
> found 13/8192 points with Q:(0.812563, 0.904072) and r=0.02 | I/O = 50 | in 0.000058 seconds.
> found 8/8192 points with Q:(0.96501, 0.858159) and r=0.02 | I/O = 50 | in 0.000044 seconds.
> found 5/8192 points with Q:(0.842405, 0.890189) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 9/8192 points with Q:(0.336283, 0.108816) and r=0.02 | I/O = 49 | in 0.000027 seconds.
> found 11/8192 points with Q:(0.460844, 0.829003) and r=0.02 | I/O = 50 | in 0.000030 seconds.
> found 8/8192 points with Q:(0.717795, 0.409082) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 7/8192 points with Q:(0.00193251, 0.797377) and r=0.02 | I/O = 49 | in 0.000029 seconds.
> found 8/8192 points with Q:(0.0870102, 0.654686) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 9/8192 points with Q:(0.145155, 0.429607) and r=0.02 | I/O = 50 | in 0.000028 seconds.
> found 9/8192 points with Q:(0.654398, 0.949397) and r=0.02 | I/O = 50 | in 0.000029 seconds.
> found 6/8192 points with Q:(0.627336, 0.684238) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 7/8192 points with Q:(0.512644, 0.832059) and r=0.02 | I/O = 50 | in 0.000029 seconds.
> found 15/8192 points with Q:(0.830476, 0.94987) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 7/8192 points with Q:(0.707221, 0.088484) and r=0.02 | I/O = 50 | in 0.000027 seconds.
> found 11/8192 points with Q:(0.0597946, 0.176364) and r=0.02 | I/O = 48 | in 0.000029 seconds.
> found 11/8192 points with Q:(0.0804365, 0.882886) and r=0.02 | I/O = 50 | in 0.000040 seconds.
> found 8/8192 points with Q:(0.741045, 0.872358) and r=0.02 | I/O = 50 | in 0.000028 seconds.

percentage of foundness 0.124878% | avg I/O: 49.68



> main finished after 2.186468 hours | (131.188107 minutes)
