=====================================================================
testing with 2048 points.

> created 2048 random points in 0.000123 seconds.
> created a mtree with 2048 random points in 0.001663 seconds with height 2.
> found 1/2048 points with Q:(0.321595, 0.737346) and r=0.02 | I/O = 19 | in 0.000008 seconds.
> found 3/2048 points with Q:(0.243056, 0.479588) and r=0.02 | I/O = 16 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.0399208, 0.445985) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.575932, 0.770915) and r=0.02 | I/O = 19 | in 0.000008 seconds.
> found 5/2048 points with Q:(0.409813, 0.782809) and r=0.02 | I/O = 18 | in 0.000008 seconds.
> found 4/2048 points with Q:(0.0919339, 0.927971) and r=0.02 | I/O = 11 | in 0.000005 seconds.
> found 2/2048 points with Q:(0.380874, 0.436708) and r=0.02 | I/O = 21 | in 0.000011 seconds.
> found 5/2048 points with Q:(0.0262876, 0.457187) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 5/2048 points with Q:(0.540706, 0.693073) and r=0.02 | I/O = 19 | in 0.000008 seconds.
> found 4/2048 points with Q:(0.434918, 0.93887) and r=0.02 | I/O = 14 | in 0.000006 seconds.
> found 4/2048 points with Q:(0.254235, 0.669882) and r=0.02 | I/O = 19 | in 0.000008 seconds.
> found 7/2048 points with Q:(0.318661, 0.068662) and r=0.02 | I/O = 15 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.400864, 0.066785) and r=0.02 | I/O = 16 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.55107, 0.396881) and r=0.02 | I/O = 21 | in 0.000012 seconds.
> found 5/2048 points with Q:(0.255691, 0.172539) and r=0.02 | I/O = 14 | in 0.000007 seconds.
> found 6/2048 points with Q:(0.909885, 0.14315) and r=0.02 | I/O = 13 | in 0.000006 seconds.
> found 2/2048 points with Q:(0.622738, 0.577286) and r=0.02 | I/O = 21 | in 0.000009 seconds.
> found 8/2048 points with Q:(0.0232705, 0.152941) and r=0.02 | I/O = 12 | in 0.000006 seconds.
> found 4/2048 points with Q:(0.923856, 0.662659) and r=0.02 | I/O = 16 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.445468, 0.599203) and r=0.02 | I/O = 20 | in 0.000010 seconds.
> found 3/2048 points with Q:(0.527173, 0.333669) and r=0.02 | I/O = 21 | in 0.000009 seconds.
> found 2/2048 points with Q:(0.770377, 0.537402) and r=0.02 | I/O = 18 | in 0.000007 seconds.
> found 1/2048 points with Q:(0.994589, 0.908048) and r=0.02 | I/O = 11 | in 0.000005 seconds.
> found 4/2048 points with Q:(0.601121, 0.796664) and r=0.02 | I/O = 17 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.735534, 0.535295) and r=0.02 | I/O = 19 | in 0.000008 seconds.
> found 3/2048 points with Q:(0.205177, 0.0360386) and r=0.02 | I/O = 12 | in 0.000006 seconds.
> found 3/2048 points with Q:(0.104701, 0.989768) and r=0.02 | I/O = 10 | in 0.000006 seconds.
> found 2/2048 points with Q:(0.0565534, 0.523838) and r=0.02 | I/O = 15 | in 0.000009 seconds.
> found 3/2048 points with Q:(0.920719, 0.505564) and r=0.02 | I/O = 16 | in 0.000007 seconds.
> found 3/2048 points with Q:(0.678103, 0.607623) and r=0.02 | I/O = 20 | in 0.000009 seconds.
> found 5/2048 points with Q:(0.750773, 0.17641) and r=0.02 | I/O = 16 | in 0.000007 seconds.
> found 4/2048 points with Q:(0.753696, 0.587988) and r=0.02 | I/O = 19 | in 0.000008 seconds.
> found 2/2048 points with Q:(0.740929, 0.373511) and r=0.02 | I/O = 20 | in 0.000008 seconds.
> found 2/2048 points with Q:(0.0361696, 0.776967) and r=0.02 | I/O = 11 | in 0.000005 seconds.
> found 3/2048 points with Q:(0.376169, 0.664785) and r=0.02 | I/O = 19 | in 0.000014 seconds.
> found 1/2048 points with Q:(0.998453, 0.481638) and r=0.02 | I/O = 15 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.0190401, 0.903343) and r=0.02 | I/O = 9 | in 0.000005 seconds.
> found 2/2048 points with Q:(0.81139, 0.76883) and r=0.02 | I/O = 16 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.565494, 0.0136293) and r=0.02 | I/O = 16 | in 0.000007 seconds.
> found 2/2048 points with Q:(0.548924, 0.412511) and r=0.02 | I/O = 21 | in 0.000009 seconds.
> found 2/2048 points with Q:(0.44855, 0.301028) and r=0.02 | I/O = 20 | in 0.000008 seconds.
> found 3/2048 points with Q:(0.290797, 0.754102) and r=0.02 | I/O = 19 | in 0.000010 seconds.

percentage of foundness 0.163086% | avg I/O: 16.47



> main finished after 0.002649 seconds
