=====================================================================
testing with 4096 points.

> created 4096 random points in 0.000241 seconds.
> created a mtree with 4096 random points in 0.001738 seconds with height 2.
> found 6/4096 points with Q:(0.477851, 0.759203) and r=0.02 | I/O = 36 | in 0.000027 seconds.
> found 6/4096 points with Q:(0.258178, 0.728357) and r=0.02 | I/O = 36 | in 0.000019 seconds.
> found 6/4096 points with Q:(0.19048, 0.295143) and r=0.02 | I/O = 36 | in 0.000018 seconds.
> found 12/4096 points with Q:(0.303224, 0.403932) and r=0.02 | I/O = 36 | in 0.000018 seconds.
> found 7/4096 points with Q:(0.665123, 0.90358) and r=0.02 | I/O = 36 | in 0.000018 seconds.
> found 8/4096 points with Q:(0.364213, 0.642983) and r=0.02 | I/O = 36 | in 0.000018 seconds.
> found 4/4096 points with Q:(0.372685, 0.339619) and r=0.02 | I/O = 36 | in 0.000018 seconds.
> found 9/4096 points with Q:(0.26216, 0.89742) and r=0.02 | I/O = 36 | in 0.000018 seconds.
> found 3/4096 points with Q:(0.437415, 0.728108) and r=0.02 | I/O = 36 | in 0.000018 seconds.
> found 8/4096 points with Q:(0.127799, 0.335347) and r=0.02 | I/O = 36 | in 0.000018 seconds.
> found 7/4096 points with Q:(0.892679, 0.205586) and r=0.02 | I/O = 36 | in 0.000018 seconds.
> found 4/4096 points with Q:(0.183502, 0.227095) and r=0.02 | I/O = 36 | in 0.000018 seconds.
> found 5/4096 points with Q:(0.622588, 0.881043) and r=0.02 | I/O = 36 | in 0.000018 seconds.
> found 7/4096 points with Q:(0.519455, 0.892512) and r=0.02 | I/O = 36 | in 0.000018 seconds.
> found 3/4096 points with Q:(0.00113739, 0.852095) and r=0.02 | I/O = 36 | in 0.000018 seconds.
> found 5/4096 points with Q:(0.611298, 0.196065) and r=0.02 | I/O = 36 | in 0.000018 seconds.
> found 3/4096 points with Q:(0.924422, 0.478989) and r=0.02 | I/O = 36 | in 0.000018 seconds.
> found 4/4096 points with Q:(0.774132, 0.869476) and r=0.02 | I/O = 36 | in 0.000018 seconds.
> found 7/4096 points with Q:(0.273408, 0.114902) and r=0.02 | I/O = 36 | in 0.000018 seconds.
> found 3/4096 points with Q:(0.0184812, 0.0773552) and r=0.02 | I/O = 36 | in 0.000018 seconds.
> found 3/4096 points with Q:(0.720338, 0.938531) and r=0.02 | I/O = 36 | in 0.000018 seconds.
> found 4/4096 points with Q:(0.27815, 0.382695) and r=0.02 | I/O = 36 | in 0.000018 seconds.
> found 6/4096 points with Q:(0.280115, 0.0930227) and r=0.02 | I/O = 36 | in 0.000018 seconds.
> found 9/4096 points with Q:(0.821131, 0.54031) and r=0.02 | I/O = 36 | in 0.000018 seconds.
