=====================================================================
testing with 2048 points.

> created 2048 random points in 0.000126 seconds.
> created a mtree with 2048 random points in 0.001240 seconds with height 3.
> found 3/2048 points with Q:(0.463733, 0.421494) and r=0.02 | I/O = 5 | in 0.000011 seconds.
> found 7/2048 points with Q:(0.0221992, 0.636995) and r=0.02 | I/O = 5 | in 0.000004 seconds.
> found 4/2048 points with Q:(0.113651, 0.594008) and r=0.02 | I/O = 5 | in 0.000003 seconds.
> found 6/2048 points with Q:(0.340456, 0.776678) and r=0.02 | I/O = 6 | in 0.000004 seconds.
> found 2/2048 points with Q:(0.731205, 0.114646) and r=0.02 | I/O = 4 | in 0.000003 seconds.
> found 7/2048 points with Q:(0.713985, 0.864536) and r=0.02 | I/O = 4 | in 0.000003 seconds.
> found 1/2048 points with Q:(0.994227, 0.0668976) and r=0.02 | I/O = 3 | in 0.000002 seconds.
> found 4/2048 points with Q:(0.87947, 0.524541) and r=0.02 | I/O = 3 | in 0.000002 seconds.
> found 4/2048 points with Q:(0.298719, 0.342549) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 4/2048 points with Q:(0.24587, 0.471235) and r=0.02 | I/O = 6 | in 0.000003 seconds.
> found 3/2048 points with Q:(0.751736, 0.765855) and r=0.02 | I/O = 4 | in 0.000003 seconds.
> found 4/2048 points with Q:(0.708281, 0.488677) and r=0.02 | I/O = 5 | in 0.000003 seconds.
> found 3/2048 points with Q:(0.658318, 0.849402) and r=0.02 | I/O = 2 | in 0.000002 seconds.
> found 2/2048 points with Q:(0.584652, 0.432705) and r=0.02 | I/O = 5 | in 0.000003 seconds.
> found 3/2048 points with Q:(0.937597, 0.223638) and r=0.02 | I/O = 3 | in 0.000002 seconds.
> found 7/2048 points with Q:(0.645133, 0.243151) and r=0.02 | I/O = 5 | in 0.000003 seconds.
> found 4/2048 points with Q:(0.880146, 0.40133) and r=0.02 | I/O = 4 | in 0.000003 seconds.
> found 3/2048 points with Q:(0.995338, 0.667332) and r=0.02 | I/O = 3 | in 0.000002 seconds.
> found 4/2048 points with Q:(0.44401, 0.993798) and r=0.02 | I/O = 3 | in 0.000002 seconds.
> found 4/2048 points with Q:(0.108444, 0.335793) and r=0.02 | I/O = 6 | in 0.000006 seconds.
> found 2/2048 points with Q:(0.200329, 0.175215) and r=0.02 | I/O = 4 | in 0.000003 seconds.
> found 4/2048 points with Q:(0.242112, 0.822428) and r=0.02 | I/O = 5 | in 0.000004 seconds.
> found 6/2048 points with Q:(0.34697, 0.194557) and r=0.02 | I/O = 5 | in 0.000003 seconds.
> found 2/2048 points with Q:(0.537106, 0.121582) and r=0.02 | I/O = 6 | in 0.000004 seconds.
> found 4/2048 points with Q:(0.592817, 0.645689) and r=0.02 | I/O = 4 | in 0.000003 seconds.
> found 6/2048 points with Q:(0.411544, 0.782976) and r=0.02 | I/O = 5 | in 0.000003 seconds.
> found 3/2048 points with Q:(0.271653, 0.344553) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 3/2048 points with Q:(0.193955, 0.119824) and r=0.02 | I/O = 4 | in 0.000002 seconds.
> found 6/2048 points with Q:(0.55253, 0.929971) and r=0.02 | I/O = 3 | in 0.000003 seconds.
> found 3/2048 points with Q:(0.153609, 0.778608) and r=0.02 | I/O = 4 | in 0.000003 seconds.
> found 4/2048 points with Q:(0.0217587, 0.490126) and r=0.02 | I/O = 4 | in 0.000003 seconds.
> found 4/2048 points with Q:(0.891456, 0.798742) and r=0.02 | I/O = 4 | in 0.000003 seconds.
> found 3/2048 points with Q:(0.466074, 0.901905) and r=0.02 | I/O = 3 | in 0.000002 seconds.
> found 1/2048 points with Q:(0.895703, 0.886794) and r=0.02 | I/O = 4 | in 0.000003 seconds.
> found 2/2048 points with Q:(0.222587, 0.910083) and r=0.02 | I/O = 3 | in 0.000002 seconds.
> found 2/2048 points with Q:(0.0852981, 0.00414653) and r=0.02 | I/O = 4 | in 0.000003 seconds.
> found 1/2048 points with Q:(0.826575, 0.422917) and r=0.02 | I/O = 4 | in 0.000003 seconds.
> found 3/2048 points with Q:(0.617474, 0.32741) and r=0.02 | I/O = 6 | in 0.000003 seconds.
> found 5/2048 points with Q:(0.448992, 0.173545) and r=0.02 | I/O = 6 | in 0.000003 seconds.
> found 4/2048 points with Q:(0.819234, 0.154579) and r=0.02 | I/O = 3 | in 0.000004 seconds.
> found 3/2048 points with Q:(0.937555, 0.0418094) and r=0.02 | I/O = 3 | in 0.000002 seconds.
> found 4/2048 points with Q:(0.386363, 0.230777) and r=0.02 | I/O = 8 | in 0.000008 seconds.
> found 6/2048 points with Q:(0.350602, 0.209208) and r=0.02 | I/O = 6 | in 0.000004 seconds.
> found 5/2048 points with Q:(0.13918, 0.580318) and r=0.02 | I/O = 6 | in 0.000004 seconds.
> found 1/2048 points with Q:(0.358926, 0.903131) and r=0.02 | I/O = 4 | in 0.000003 seconds.
> found 2/2048 points with Q:(0.393258, 0.292789) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 9/2048 points with Q:(0.0915307, 0.380685) and r=0.02 | I/O = 5 | in 0.000003 seconds.
> found 5/2048 points with Q:(0.28259, 0.284714) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 3/2048 points with Q:(0.171508, 0.557604) and r=0.02 | I/O = 6 | in 0.000004 seconds.
> found 5/2048 points with Q:(0.467688, 0.178292) and r=0.02 | I/O = 5 | in 0.000003 seconds.
> found 3/2048 points with Q:(0.182439, 0.394095) and r=0.02 | I/O = 6 | in 0.000003 seconds.
> found 3/2048 points with Q:(0.817012, 0.552986) and r=0.02 | I/O = 3 | in 0.000002 seconds.
> found 4/2048 points with Q:(0.880396, 0.00901392) and r=0.02 | I/O = 3 | in 0.000002 seconds.
> found 5/2048 points with Q:(0.182559, 0.434485) and r=0.02 | I/O = 6 | in 0.000003 seconds.
