=====================================================================
testing with 131072 points.

> created 131072 random points in 0.007722 seconds.
> created a mtree with 131072 random points in 0.556014 seconds with height 3.
> found 162/131072 points with Q:(0.564201, 0.111682) and r=0.02 | I/O = 51 | in 0.000129 seconds.
> found 196/131072 points with Q:(0.247153, 0.225817) and r=0.02 | I/O = 48 | in 0.000099 seconds.
> found 147/131072 points with Q:(0.359128, 0.269442) and r=0.02 | I/O = 51 | in 0.000086 seconds.
> found 161/131072 points with Q:(0.930206, 0.0562888) and r=0.02 | I/O = 38 | in 0.000078 seconds.
> found 128/131072 points with Q:(0.313146, 0.723649) and r=0.02 | I/O = 47 | in 0.000107 seconds.
> found 182/131072 points with Q:(0.813891, 0.715777) and r=0.02 | I/O = 37 | in 0.000072 seconds.
> found 175/131072 points with Q:(0.267954, 0.0838733) and r=0.02 | I/O = 47 | in 0.000082 seconds.
> found 162/131072 points with Q:(0.155206, 0.932953) and r=0.02 | I/O = 44 | in 0.000075 seconds.
> found 164/131072 points with Q:(0.555425, 0.924613) and r=0.02 | I/O = 42 | in 0.000069 seconds.
> found 165/131072 points with Q:(0.571843, 0.860939) and r=0.02 | I/O = 44 | in 0.000045 seconds.
> found 172/131072 points with Q:(0.576923, 0.94492) and r=0.02 | I/O = 39 | in 0.000029 seconds.
> found 155/131072 points with Q:(0.97954, 0.343375) and r=0.02 | I/O = 40 | in 0.000063 seconds.
> found 154/131072 points with Q:(0.260028, 0.559514) and r=0.02 | I/O = 42 | in 0.000068 seconds.
> found 169/131072 points with Q:(0.312313, 0.29172) and r=0.02 | I/O = 55 | in 0.000075 seconds.
> found 153/131072 points with Q:(0.261537, 0.89733) and r=0.02 | I/O = 41 | in 0.000056 seconds.
> found 118/131072 points with Q:(0.00901252, 0.928213) and r=0.02 | I/O = 26 | in 0.000029 seconds.
> found 173/131072 points with Q:(0.154031, 0.825738) and r=0.02 | I/O = 49 | in 0.000054 seconds.
> found 162/131072 points with Q:(0.0951797, 0.256166) and r=0.02 | I/O = 46 | in 0.000068 seconds.
> found 183/131072 points with Q:(0.312454, 0.513158) and r=0.02 | I/O = 43 | in 0.000051 seconds.
> found 153/131072 points with Q:(0.236807, 0.0253856) and r=0.02 | I/O = 40 | in 0.000046 seconds.
> found 156/131072 points with Q:(0.741162, 0.625601) and r=0.02 | I/O = 55 | in 0.000078 seconds.
> found 165/131072 points with Q:(0.709474, 0.0506981) and r=0.02 | I/O = 46 | in 0.000068 seconds.
> found 149/131072 points with Q:(0.983652, 0.00911649) and r=0.02 | I/O = 24 | in 0.000037 seconds.
> found 161/131072 points with Q:(0.933729, 0.86468) and r=0.02 | I/O = 43 | in 0.000060 seconds.
> found 152/131072 points with Q:(0.725619, 0.539077) and r=0.02 | I/O = 64 | in 0.000064 seconds.
> found 171/131072 points with Q:(0.483997, 0.505573) and r=0.02 | I/O = 44 | in 0.000064 seconds.
> found 157/131072 points with Q:(0.848948, 0.302542) and r=0.02 | I/O = 69 | in 0.000088 seconds.
> found 157/131072 points with Q:(0.862055, 0.463538) and r=0.02 | I/O = 59 | in 0.000058 seconds.
> found 165/131072 points with Q:(0.755257, 0.108977) and r=0.02 | I/O = 36 | in 0.000034 seconds.
> found 118/131072 points with Q:(0.00630688, 0.174368) and r=0.02 | I/O = 30 | in 0.000034 seconds.
> found 154/131072 points with Q:(0.102582, 0.0167946) and r=0.02 | I/O = 30 | in 0.000035 seconds.
> found 154/131072 points with Q:(0.842533, 0.0153194) and r=0.02 | I/O = 30 | in 0.000030 seconds.
> found 172/131072 points with Q:(0.271485, 0.256612) and r=0.02 | I/O = 50 | in 0.000054 seconds.
> found 151/131072 points with Q:(0.76977, 0.937713) and r=0.02 | I/O = 38 | in 0.000051 seconds.
> found 157/131072 points with Q:(0.963098, 0.583939) and r=0.02 | I/O = 38 | in 0.000040 seconds.
> found 115/131072 points with Q:(0.20954, 0.00657759) and r=0.02 | I/O = 36 | in 0.000032 seconds.
> found 175/131072 points with Q:(0.0572757, 0.70426) and r=0.02 | I/O = 41 | in 0.000052 seconds.
> found 193/131072 points with Q:(0.713377, 0.919014) and r=0.02 | I/O = 42 | in 0.000035 seconds.
> found 168/131072 points with Q:(0.783694, 0.0409272) and r=0.02 | I/O = 35 | in 0.000027 seconds.
