=====================================================================
testing with 262144 points.

> created 262144 random points in 0.015629 seconds.
> created a mtree with 262144 random points in 3.168069 seconds with height 4.
> found 347/262144 points with Q:(0.101788, 0.221571) and r=0.02 | I/O = 19 | in 0.000074 seconds.
> found 297/262144 points with Q:(0.0388211, 0.471522) and r=0.02 | I/O = 15 | in 0.000040 seconds.
> found 334/262144 points with Q:(0.221021, 0.851835) and r=0.02 | I/O = 20 | in 0.000055 seconds.
> found 327/262144 points with Q:(0.723466, 0.907993) and r=0.02 | I/O = 18 | in 0.000041 seconds.
> found 316/262144 points with Q:(0.819935, 0.306879) and r=0.02 | I/O = 22 | in 0.000052 seconds.
> found 339/262144 points with Q:(0.958812, 0.554048) and r=0.02 | I/O = 19 | in 0.000043 seconds.
> found 334/262144 points with Q:(0.473725, 0.236845) and r=0.02 | I/O = 23 | in 0.000049 seconds.
> found 341/262144 points with Q:(0.842238, 0.485008) and r=0.02 | I/O = 22 | in 0.000043 seconds.
> found 334/262144 points with Q:(0.844505, 0.554009) and r=0.02 | I/O = 20 | in 0.000045 seconds.
> found 314/262144 points with Q:(0.490485, 0.639405) and r=0.02 | I/O = 16 | in 0.000036 seconds.
> found 375/262144 points with Q:(0.303747, 0.326193) and r=0.02 | I/O = 23 | in 0.000047 seconds.
> found 341/262144 points with Q:(0.616607, 0.359818) and r=0.02 | I/O = 23 | in 0.000046 seconds.
> found 341/262144 points with Q:(0.0962007, 0.0794972) and r=0.02 | I/O = 18 | in 0.000039 seconds.
> found 306/262144 points with Q:(0.0598244, 0.675086) and r=0.02 | I/O = 16 | in 0.000039 seconds.
> found 339/262144 points with Q:(0.69274, 0.319604) and r=0.02 | I/O = 22 | in 0.000039 seconds.
> found 333/262144 points with Q:(0.541175, 0.790196) and r=0.02 | I/O = 21 | in 0.000047 seconds.
> found 330/262144 points with Q:(0.261718, 0.794528) and r=0.02 | I/O = 21 | in 0.000044 seconds.
> found 313/262144 points with Q:(0.646363, 0.579996) and r=0.02 | I/O = 21 | in 0.000043 seconds.
> found 337/262144 points with Q:(0.487989, 0.48274) and r=0.02 | I/O = 21 | in 0.000042 seconds.
> found 358/262144 points with Q:(0.789619, 0.369829) and r=0.02 | I/O = 25 | in 0.000049 seconds.
> found 339/262144 points with Q:(0.923877, 0.307924) and r=0.02 | I/O = 19 | in 0.000044 seconds.
> found 335/262144 points with Q:(0.544769, 0.74843) and r=0.02 | I/O = 20 | in 0.000034 seconds.
> found 316/262144 points with Q:(0.233438, 0.397602) and r=0.02 | I/O = 22 | in 0.000051 seconds.
> found 346/262144 points with Q:(0.951611, 0.387007) and r=0.02 | I/O = 23 | in 0.000048 seconds.
> found 334/262144 points with Q:(0.0264119, 0.0779434) and r=0.02 | I/O = 16 | in 0.000034 seconds.
> found 331/262144 points with Q:(0.404136, 0.442095) and r=0.02 | I/O = 20 | in 0.000043 seconds.
