=====================================================================
testing with 1024 points.

> created 1024 random points in 0.000064 seconds.
> created a mtree with 1024 random points in 0.000546 seconds with height 3.
> found 3/1024 points with Q:(0.284707, 0.891009) and r=0.02 | I/O = 3 | in 0.000010 seconds.
> found 3/1024 points with Q:(0.794641, 0.277702) and r=0.02 | I/O = 4 | in 0.000003 seconds.
> found 1/1024 points with Q:(0.471936, 0.474001) and r=0.02 | I/O = 6 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.138381, 0.689055) and r=0.02 | I/O = 6 | in 0.000003 seconds.
> found 2/1024 points with Q:(0.94582, 0.193955) and r=0.02 | I/O = 2 | in 0.000002 seconds.
> found 3/1024 points with Q:(0.807572, 0.157724) and r=0.02 | I/O = 3 | in 0.000002 seconds.
> found 1/1024 points with Q:(0.897208, 0.630812) and r=0.02 | I/O = 3 | in 0.000002 seconds.
> found 1/1024 points with Q:(0.716973, 0.692807) and r=0.02 | I/O = 5 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.7393, 0.0167823) and r=0.02 | I/O = 2 | in 0.000002 seconds.
> found 2/1024 points with Q:(0.832422, 0.900823) and r=0.02 | I/O = 3 | in 0.000002 seconds.
> found 3/1024 points with Q:(0.847206, 0.734321) and r=0.02 | I/O = 4 | in 0.000002 seconds.
> found 2/1024 points with Q:(0.400226, 0.211472) and r=0.02 | I/O = 4 | in 0.000003 seconds.
> found 1/1024 points with Q:(0.570948, 0.00905217) and r=0.02 | I/O = 2 | in 0.000002 seconds.
> found 2/1024 points with Q:(0.456905, 0.50999) and r=0.02 | I/O = 6 | in 0.000003 seconds.
> found 2/1024 points with Q:(0.825615, 0.254238) and r=0.02 | I/O = 4 | in 0.000002 seconds.
> found 1/1024 points with Q:(0.145247, 0.280713) and r=0.02 | I/O = 5 | in 0.000003 seconds.
> found 3/1024 points with Q:(0.558415, 0.110322) and r=0.02 | I/O = 2 | in 0.000002 seconds.
> found 1/1024 points with Q:(0.584323, 0.939888) and r=0.02 | I/O = 4 | in 0.000002 seconds.
> found 4/1024 points with Q:(0.628943, 0.0303507) and r=0.02 | I/O = 3 | in 0.000002 seconds.
> found 4/1024 points with Q:(0.224306, 0.722704) and r=0.02 | I/O = 5 | in 0.000003 seconds.
> found 1/1024 points with Q:(0.880429, 0.574763) and r=0.02 | I/O = 4 | in 0.000002 seconds.
> found 1/1024 points with Q:(0.205575, 0.0318774) and r=0.02 | I/O = 3 | in 0.000002 seconds.
> found 3/1024 points with Q:(0.724684, 0.777637) and r=0.02 | I/O = 5 | in 0.000003 seconds.
> found 1/1024 points with Q:(0.794419, 0.922547) and r=0.02 | I/O = 3 | in 0.000002 seconds.
> found 1/1024 points with Q:(0.82337, 0.463985) and r=0.02 | I/O = 4 | in 0.000002 seconds.
> found 2/1024 points with Q:(0.198306, 0.626841) and r=0.02 | I/O = 6 | in 0.000003 seconds.
> found 1/1024 points with Q:(0.838313, 0.670576) and r=0.02 | I/O = 6 | in 0.000003 seconds.
> found 3/1024 points with Q:(0.679628, 0.598532) and r=0.02 | I/O = 4 | in 0.000002 seconds.
