=====================================================================
testing with 65536 points.

> created 65536 random points in 0.003789 seconds.
> created a mtree with 65536 random points in 0.157297 seconds with height 4.
> found 86/65536 points with Q:(0.460092, 0.972824) and r=0.02 | I/O = 11 | in 0.000010 seconds.
> found 92/65536 points with Q:(0.689605, 0.746594) and r=0.02 | I/O = 14 | in 0.000013 seconds.
> found 86/65536 points with Q:(0.836545, 0.345487) and r=0.02 | I/O = 14 | in 0.000014 seconds.
> found 72/65536 points with Q:(0.764391, 0.507297) and r=0.02 | I/O = 14 | in 0.000014 seconds.
> found 82/65536 points with Q:(0.626624, 0.660092) and r=0.02 | I/O = 17 | in 0.000018 seconds.
> found 90/65536 points with Q:(0.444711, 0.211653) and r=0.02 | I/O = 14 | in 0.000014 seconds.
> found 80/65536 points with Q:(0.0671423, 0.736557) and r=0.02 | I/O = 11 | in 0.000011 seconds.
> found 83/65536 points with Q:(0.445834, 0.383952) and r=0.02 | I/O = 15 | in 0.000018 seconds.
> found 88/65536 points with Q:(0.602934, 0.794049) and r=0.02 | I/O = 14 | in 0.000015 seconds.
> found 82/65536 points with Q:(0.833523, 0.535435) and r=0.02 | I/O = 14 | in 0.000011 seconds.
> found 86/65536 points with Q:(0.185458, 0.909126) and r=0.02 | I/O = 11 | in 0.000013 seconds.
> found 83/65536 points with Q:(0.0638263, 0.441323) and r=0.02 | I/O = 11 | in 0.000012 seconds.
> found 87/65536 points with Q:(0.639398, 0.36119) and r=0.02 | I/O = 11 | in 0.000011 seconds.
> found 73/65536 points with Q:(0.539037, 0.233293) and r=0.02 | I/O = 14 | in 0.000014 seconds.
> found 89/65536 points with Q:(0.209821, 0.872215) and r=0.02 | I/O = 13 | in 0.000011 seconds.
> found 77/65536 points with Q:(0.845039, 0.935443) and r=0.02 | I/O = 11 | in 0.000014 seconds.
> found 96/65536 points with Q:(0.682037, 0.669914) and r=0.02 | I/O = 15 | in 0.000011 seconds.
> found 77/65536 points with Q:(0.0154006, 0.534644) and r=0.02 | I/O = 9 | in 0.000009 seconds.
> found 82/65536 points with Q:(0.0419411, 0.518582) and r=0.02 | I/O = 12 | in 0.000010 seconds.
> found 82/65536 points with Q:(0.178675, 0.779792) and r=0.02 | I/O = 17 | in 0.000016 seconds.
> found 69/65536 points with Q:(0.991445, 0.668565) and r=0.02 | I/O = 7 | in 0.000007 seconds.
> found 75/65536 points with Q:(0.405122, 0.623386) and r=0.02 | I/O = 17 | in 0.000016 seconds.
> found 56/65536 points with Q:(0.00733787, 0.0585875) and r=0.02 | I/O = 10 | in 0.000009 seconds.
> found 73/65536 points with Q:(0.852636, 0.850956) and r=0.02 | I/O = 10 | in 0.000012 seconds.
> found 82/65536 points with Q:(0.386391, 0.610272) and r=0.02 | I/O = 18 | in 0.000052 seconds.
> found 80/65536 points with Q:(0.519397, 0.686159) and r=0.02 | I/O = 14 | in 0.000014 seconds.
> found 83/65536 points with Q:(0.127482, 0.571849) and r=0.02 | I/O = 9 | in 0.000013 seconds.
> found 76/65536 points with Q:(0.933039, 0.583224) and r=0.02 | I/O = 11 | in 0.000011 seconds.
> found 81/65536 points with Q:(0.816517, 0.76688) and r=0.02 | I/O = 11 | in 0.000010 seconds.
> found 74/65536 points with Q:(0.639095, 0.472076) and r=0.02 | I/O = 14 | in 0.000014 seconds.
> found 95/65536 points with Q:(0.40752, 0.0263383) and r=0.02 | I/O = 12 | in 0.000012 seconds.
> found 81/65536 points with Q:(0.696252, 0.484133) and r=0.02 | I/O = 18 | in 0.000015 seconds.
> found 89/65536 points with Q:(0.0187771, 0.089557) and r=0.02 | I/O = 10 | in 0.000009 seconds.
> found 101/65536 points with Q:(0.608139, 0.711652) and r=0.02 | I/O = 17 | in 0.000013 seconds.
> found 84/65536 points with Q:(0.491444, 0.0607182) and r=0.02 | I/O = 14 | in 0.000014 seconds.
> found 94/65536 points with Q:(0.729284, 0.786814) and r=0.02 | I/O = 15 | in 0.000013 seconds.
> found 89/65536 points with Q:(0.4102, 0.48289) and r=0.02 | I/O = 14 | in 0.000012 seconds.
> found 79/65536 points with Q:(0.541477, 0.134405) and r=0.02 | I/O = 16 | in 0.000014 seconds.
> found 84/65536 points with Q:(0.985361, 0.417538) and r=0.02 | I/O = 9 | in 0.000008 seconds.
> found 61/65536 points with Q:(0.0278094, 0.394114) and r=0.02 | I/O = 9 | in 0.000009 seconds.
> found 85/65536 points with Q:(0.0802727, 0.371752) and r=0.02 | I/O = 16 | in 0.000019 seconds.
> found 73/65536 points with Q:(0.943601, 0.547207) and r=0.02 | I/O = 12 | in 0.000011 seconds.

avg percentage of points found: 0.124619% | avg I/O: 12.78


> main finished after 0.164811 seconds
