=====================================================================
testing with 524288 points.

> created 524288 random points in 0.031377 seconds.
> created a mtree with 524288 random points in 12.320481 seconds with height 4.
> found 647/524288 points with Q:(0.555315, 0.26278) and r=0.02 | I/O = 26 | in 0.000106 seconds.
> found 630/524288 points with Q:(0.240275, 0.0617632) and r=0.02 | I/O = 17 | in 0.000049 seconds.
> found 667/524288 points with Q:(0.946765, 0.0379718) and r=0.02 | I/O = 23 | in 0.000068 seconds.
> found 657/524288 points with Q:(0.543599, 0.541096) and r=0.02 | I/O = 23 | in 0.000062 seconds.
> found 664/524288 points with Q:(0.280552, 0.495274) and r=0.02 | I/O = 29 | in 0.000078 seconds.
> found 666/524288 points with Q:(0.620559, 0.878801) and r=0.02 | I/O = 26 | in 0.000074 seconds.
> found 652/524288 points with Q:(0.778315, 0.279512) and r=0.02 | I/O = 27 | in 0.000068 seconds.
> found 688/524288 points with Q:(0.426038, 0.185448) and r=0.02 | I/O = 30 | in 0.000077 seconds.
> found 643/524288 points with Q:(0.0867736, 0.902013) and r=0.02 | I/O = 23 | in 0.000062 seconds.
> found 696/524288 points with Q:(0.146041, 0.399647) and r=0.02 | I/O = 29 | in 0.000069 seconds.
> found 666/524288 points with Q:(0.95012, 0.350034) and r=0.02 | I/O = 24 | in 0.000064 seconds.
> found 719/524288 points with Q:(0.0948657, 0.948852) and r=0.02 | I/O = 23 | in 0.000053 seconds.
> found 637/524288 points with Q:(0.361725, 0.614036) and r=0.02 | I/O = 27 | in 0.000067 seconds.
> found 666/524288 points with Q:(0.40084, 0.503258) and r=0.02 | I/O = 29 | in 0.000063 seconds.
> found 646/524288 points with Q:(0.660163, 0.546909) and r=0.02 | I/O = 34 | in 0.000081 seconds.
> found 657/524288 points with Q:(0.80969, 0.348623) and r=0.02 | I/O = 29 | in 0.000069 seconds.
> found 696/524288 points with Q:(0.410386, 0.215477) and r=0.02 | I/O = 24 | in 0.000047 seconds.
> found 636/524288 points with Q:(0.253449, 0.0499645) and r=0.02 | I/O = 25 | in 0.000056 seconds.
> found 629/524288 points with Q:(0.591061, 0.357152) and r=0.02 | I/O = 27 | in 0.000063 seconds.
> found 670/524288 points with Q:(0.852426, 0.797048) and r=0.02 | I/O = 28 | in 0.000070 seconds.
> found 686/524288 points with Q:(0.675849, 0.871613) and r=0.02 | I/O = 23 | in 0.000054 seconds.
> found 594/524288 points with Q:(0.151125, 0.472985) and r=0.02 | I/O = 25 | in 0.000055 seconds.
> found 658/524288 points with Q:(0.658433, 0.454164) and r=0.02 | I/O = 32 | in 0.000065 seconds.
> found 661/524288 points with Q:(0.356177, 0.577163) and r=0.02 | I/O = 27 | in 0.000052 seconds.
> found 684/524288 points with Q:(0.97681, 0.745206) and r=0.02 | I/O = 21 | in 0.000054 seconds.
> found 690/524288 points with Q:(0.0952406, 0.502218) and r=0.02 | I/O = 31 | in 0.000061 seconds.
> found 598/524288 points with Q:(0.451071, 0.92693) and r=0.02 | I/O = 25 | in 0.000059 seconds.
> found 703/524288 points with Q:(0.540966, 0.190106) and r=0.02 | I/O = 32 | in 0.000070 seconds.
> found 637/524288 points with Q:(0.693364, 0.812795) and r=0.02 | I/O = 27 | in 0.000064 seconds.
> found 642/524288 points with Q:(0.359705, 0.941806) and r=0.02 | I/O = 23 | in 0.000055 seconds.
> found 652/524288 points with Q:(0.290429, 0.353526) and r=0.02 | I/O = 27 | in 0.000062 seconds.
> found 663/524288 points with Q:(0.569004, 0.169394) and r=0.02 | I/O = 26 | in 0.000051 seconds.
> found 665/524288 points with Q:(0.219359, 0.700815) and r=0.02 | I/O = 25 | in 0.000057 seconds.
