=====================================================================
testing with 32768 points.

> created 32768 random points in 0.001893 seconds.
> created a mtree with 32768 random points in 0.048236 seconds with height 3.
> found 41/32768 points with Q:(0.388646, 0.0852477) and r=0.02 | I/O = 9 | in 0.000052 seconds.
> found 50/32768 points with Q:(0.024386, 0.869844) and r=0.02 | I/O = 5 | in 0.000028 seconds.
> found 37/32768 points with Q:(0.721312, 0.153686) and r=0.02 | I/O = 9 | in 0.000011 seconds.
> found 37/32768 points with Q:(0.733332, 0.474315) and r=0.02 | I/O = 9 | in 0.000012 seconds.
> found 0/32768 points with Q:(0.0344069, 0.307558) and r=0.02 | I/O = 2 | in 0.000002 seconds.
> found 36/32768 points with Q:(0.912927, 0.515316) and r=0.02 | I/O = 8 | in 0.000011 seconds.
> found 40/32768 points with Q:(0.678676, 0.655589) and r=0.02 | I/O = 9 | in 0.000015 seconds.
> found 42/32768 points with Q:(0.501848, 0.6077) and r=0.02 | I/O = 8 | in 0.000011 seconds.
> found 0/32768 points with Q:(0.0037454, 0.108263) and r=0.02 | I/O = 1 | in 0.000001 seconds.
> found 46/32768 points with Q:(0.669824, 0.801217) and r=0.02 | I/O = 12 | in 0.000015 seconds.
> found 40/32768 points with Q:(0.68488, 0.422665) and r=0.02 | I/O = 6 | in 0.000006 seconds.
> found 36/32768 points with Q:(0.182648, 0.0800062) and r=0.02 | I/O = 9 | in 0.000012 seconds.
> found 39/32768 points with Q:(0.189368, 0.233739) and r=0.02 | I/O = 12 | in 0.000015 seconds.
> found 46/32768 points with Q:(0.201572, 0.382477) and r=0.02 | I/O = 11 | in 0.000014 seconds.
> found 23/32768 points with Q:(0.66586, 0.448056) and r=0.02 | I/O = 7 | in 0.000007 seconds.
> found 49/32768 points with Q:(0.533304, 0.985617) and r=0.02 | I/O = 8 | in 0.000012 seconds.
> found 41/32768 points with Q:(0.855461, 0.0545068) and r=0.02 | I/O = 9 | in 0.000011 seconds.
> found 50/32768 points with Q:(0.208193, 0.55769) and r=0.02 | I/O = 9 | in 0.000012 seconds.
> found 42/32768 points with Q:(0.0320055, 0.576773) and r=0.02 | I/O = 6 | in 0.000010 seconds.
> found 49/32768 points with Q:(0.884332, 0.941525) and r=0.02 | I/O = 10 | in 0.000014 seconds.
> found 60/32768 points with Q:(0.456841, 0.0664124) and r=0.02 | I/O = 9 | in 0.000011 seconds.
> found 41/32768 points with Q:(0.722001, 0.797258) and r=0.02 | I/O = 12 | in 0.000013 seconds.
> found 39/32768 points with Q:(0.404958, 0.135517) and r=0.02 | I/O = 11 | in 0.000011 seconds.
> found 50/32768 points with Q:(0.24378, 0.223849) and r=0.02 | I/O = 9 | in 0.000009 seconds.
> found 7/32768 points with Q:(0.0250656, 0.408704) and r=0.02 | I/O = 4 | in 0.000005 seconds.
> found 42/32768 points with Q:(0.831369, 0.913604) and r=0.02 | I/O = 9 | in 0.000009 seconds.
> found 25/32768 points with Q:(0.99361, 0.709945) and r=0.02 | I/O = 7 | in 0.000009 seconds.
> found 43/32768 points with Q:(0.943685, 0.0140167) and r=0.02 | I/O = 6 | in 0.000006 seconds.
> found 52/32768 points with Q:(0.396494, 0.182978) and r=0.02 | I/O = 10 | in 0.000010 seconds.
> found 40/32768 points with Q:(0.631035, 0.145256) and r=0.02 | I/O = 9 | in 0.000011 seconds.
> found 0/32768 points with Q:(0.130874, 0.0623543) and r=0.02 | I/O = 1 | in 0.000001 seconds.
> found 0/32768 points with Q:(0.116861, 0.164339) and r=0.02 | I/O = 1 | in 0.000001 seconds.
> found 29/32768 points with Q:(0.722029, 0.986335) and r=0.02 | I/O = 7 | in 0.000007 seconds.
> found 37/32768 points with Q:(0.563108, 0.325054) and r=0.02 | I/O = 11 | in 0.000011 seconds.
> found 40/32768 points with Q:(0.266579, 0.754034) and r=0.02 | I/O = 8 | in 0.000009 seconds.
> found 48/32768 points with Q:(0.820447, 0.447439) and r=0.02 | I/O = 8 | in 0.000009 seconds.
> found 36/32768 points with Q:(0.244698, 0.72342) and r=0.02 | I/O = 9 | in 0.000008 seconds.
> found 35/32768 points with Q:(0.858937, 0.542448) and r=0.02 | I/O = 8 | in 0.000008 seconds.
> found 38/32768 points with Q:(0.766297, 0.649656) and r=0.02 | I/O = 8 | in 0.000010 seconds.
> found 0/32768 points with Q:(0.0583595, 0.102717) and r=0.02 | I/O = 1 | in 0.000001 seconds.
> found 35/32768 points with Q:(0.0163212, 0.791362) and r=0.02 | I/O = 5 | in 0.000007 seconds.
> found 44/32768 points with Q:(0.501308, 0.889728) and r=0.02 | I/O = 8 | in 0.000009 seconds.
> found 33/32768 points with Q:(0.903745, 0.00993161) and r=0.02 | I/O = 7 | in 0.000006 seconds.
> found 42/32768 points with Q:(0.19291, 0.444993) and r=0.02 | I/O = 11 | in 0.000011 seconds.
> found 27/32768 points with Q:(0.590249, 0.300239) and r=0.02 | I/O = 10 | in 0.000009 seconds.
