=====================================================================
testing with 4096 points.

> created 4096 random points in 0.000241 seconds.
> created a mtree with 4096 random points in 0.002601 seconds with height 3.
> found 6/4096 points with Q:(0.420296, 0.221436) and r=0.02 | I/O = 5 | in 0.000012 seconds.
> found 14/4096 points with Q:(0.862916, 0.27005) and r=0.02 | I/O = 8 | in 0.000006 seconds.
> found 5/4096 points with Q:(0.765047, 0.801791) and r=0.02 | I/O = 5 | in 0.000004 seconds.
> found 3/4096 points with Q:(0.379919, 0.10843) and r=0.02 | I/O = 5 | in 0.000004 seconds.
> found 7/4096 points with Q:(0.74694, 0.782329) and r=0.02 | I/O = 6 | in 0.000004 seconds.
> found 6/4096 points with Q:(0.158836, 0.47702) and r=0.02 | I/O = 6 | in 0.000005 seconds.
> found 2/4096 points with Q:(0.114075, 0.382562) and r=0.02 | I/O = 7 | in 0.000005 seconds.
> found 6/4096 points with Q:(0.895451, 0.42618) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 6/4096 points with Q:(0.47258, 0.520115) and r=0.02 | I/O = 8 | in 0.000005 seconds.
> found 7/4096 points with Q:(0.185993, 0.791231) and r=0.02 | I/O = 7 | in 0.000005 seconds.
> found 7/4096 points with Q:(0.90498, 0.637068) and r=0.02 | I/O = 6 | in 0.000004 seconds.
> found 7/4096 points with Q:(0.664752, 0.420245) and r=0.02 | I/O = 8 | in 0.000007 seconds.
> found 5/4096 points with Q:(0.407523, 0.608259) and r=0.02 | I/O = 9 | in 0.000006 seconds.
> found 4/4096 points with Q:(0.435686, 0.952958) and r=0.02 | I/O = 3 | in 0.000002 seconds.
> found 4/4096 points with Q:(0.706609, 0.331192) and r=0.02 | I/O = 11 | in 0.000006 seconds.
> found 6/4096 points with Q:(0.552627, 0.141876) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 3/4096 points with Q:(0.411926, 0.126905) and r=0.02 | I/O = 6 | in 0.000004 seconds.
> found 6/4096 points with Q:(0.928696, 0.415544) and r=0.02 | I/O = 5 | in 0.000003 seconds.
> found 6/4096 points with Q:(0.523973, 0.176973) and r=0.02 | I/O = 9 | in 0.000005 seconds.
> found 8/4096 points with Q:(0.959302, 0.308615) and r=0.02 | I/O = 5 | in 0.000003 seconds.
> found 6/4096 points with Q:(0.785635, 0.270913) and r=0.02 | I/O = 9 | in 0.000005 seconds.
> found 4/4096 points with Q:(0.653475, 0.118138) and r=0.02 | I/O = 9 | in 0.000005 seconds.
> found 6/4096 points with Q:(0.544318, 0.89971) and r=0.02 | I/O = 4 | in 0.000003 seconds.
> found 7/4096 points with Q:(0.419825, 0.548927) and r=0.02 | I/O = 9 | in 0.000005 seconds.
> found 9/4096 points with Q:(0.340157, 0.0168982) and r=0.02 | I/O = 5 | in 0.000004 seconds.
> found 4/4096 points with Q:(0.653966, 0.605818) and r=0.02 | I/O = 6 | in 0.000003 seconds.
> found 6/4096 points with Q:(0.0260633, 0.245137) and r=0.02 | I/O = 5 | in 0.000006 seconds.
> found 10/4096 points with Q:(0.853396, 0.318718) and r=0.02 | I/O = 8 | in 0.000005 seconds.
> found 7/4096 points with Q:(0.271676, 0.433586) and r=0.02 | I/O = 7 | in 0.000005 seconds.
> found 5/4096 points with Q:(0.764778, 0.289082) and r=0.02 | I/O = 10 | in 0.000005 seconds.
> found 3/4096 points with Q:(0.430958, 0.978286) and r=0.02 | I/O = 3 | in 0.000002 seconds.
> found 2/4096 points with Q:(0.105191, 0.317405) and r=0.02 | I/O = 6 | in 0.000004 seconds.
> found 5/4096 points with Q:(0.732949, 0.842884) and r=0.02 | I/O = 5 | in 0.000003 seconds.
> found 9/4096 points with Q:(0.0198575, 0.0338874) and r=0.02 | I/O = 5 | in 0.000004 seconds.
> found 4/4096 points with Q:(0.342503, 0.256922) and r=0.02 | I/O = 8 | in 0.000005 seconds.
> found 4/4096 points with Q:(0.527836, 0.979159) and r=0.02 | I/O = 3 | in 0.000002 seconds.
> found 6/4096 points with Q:(0.0972976, 0.128138) and r=0.02 | I/O = 5 | in 0.000004 seconds.
> found 3/4096 points with Q:(0.027848, 0.181311) and r=0.02 | I/O = 6 | in 0.000004 seconds.
> found 3/4096 points with Q:(0.730238, 0.641615) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 4/4096 points with Q:(0.658514, 0.447673) and r=0.02 | I/O = 7 | in 0.000006 seconds.
> found 6/4096 points with Q:(0.0534913, 0.0703949) and r=0.02 | I/O = 5 | in 0.000004 seconds.
> found 4/4096 points with Q:(0.315532, 0.31248) and r=0.02 | I/O = 9 | in 0.000006 seconds.
> found 5/4096 points with Q:(0.631198, 0.0795546) and r=0.02 | I/O = 7 | in 0.000006 seconds.
> found 8/4096 points with Q:(0.513141, 0.168928) and r=0.02 | I/O = 8 | in 0.000005 seconds.
> found 4/4096 points with Q:(0.45801, 0.902874) and r=0.02 | I/O = 5 | in 0.000003 seconds.
> found 11/4096 points with Q:(0.88116, 0.277919) and r=0.02 | I/O = 8 | in 0.000005 seconds.
> found 3/4096 points with Q:(0.595324, 0.888968) and r=0.02 | I/O = 5 | in 0.000003 seconds.
> found 5/4096 points with Q:(0.731852, 0.986351) and r=0.02 | I/O = 2 | in 0.000002 seconds.
> found 6/4096 points with Q:(0.0202386, 0.328273) and r=0.02 | I/O = 5 | in 0.000004 seconds.
