=====================================================================
testing with 32768 points.

> created 32768 random points in 0.002026 seconds.
> created a mtree with 32768 random points in 0.057912 seconds with height 4.
> found 36/32768 points with Q:(0.0753416, 0.642214) and r=0.02 | I/O = 8 | in 0.000024 seconds.
> found 41/32768 points with Q:(0.370467, 0.903935) and r=0.02 | I/O = 11 | in 0.000012 seconds.
> found 27/32768 points with Q:(0.808, 0.00478748) and r=0.02 | I/O = 6 | in 0.000009 seconds.
> found 45/32768 points with Q:(0.133062, 0.662026) and r=0.02 | I/O = 14 | in 0.000010 seconds.
> found 38/32768 points with Q:(0.483687, 0.0591378) and r=0.02 | I/O = 10 | in 0.000010 seconds.
> found 44/32768 points with Q:(0.756572, 0.452875) and r=0.02 | I/O = 11 | in 0.000010 seconds.
> found 48/32768 points with Q:(0.206087, 0.45199) and r=0.02 | I/O = 11 | in 0.000012 seconds.
> found 35/32768 points with Q:(0.382209, 0.0100387) and r=0.02 | I/O = 5 | in 0.000005 seconds.
> found 49/32768 points with Q:(0.190412, 0.105134) and r=0.02 | I/O = 8 | in 0.000009 seconds.
> found 53/32768 points with Q:(0.284571, 0.960354) and r=0.02 | I/O = 8 | in 0.000007 seconds.
> found 45/32768 points with Q:(0.62784, 0.760546) and r=0.02 | I/O = 11 | in 0.000012 seconds.
> found 39/32768 points with Q:(0.727234, 0.569821) and r=0.02 | I/O = 11 | in 0.000009 seconds.
> found 35/32768 points with Q:(0.884286, 0.10254) and r=0.02 | I/O = 13 | in 0.000012 seconds.
> found 29/32768 points with Q:(0.228161, 0.948863) and r=0.02 | I/O = 8 | in 0.000006 seconds.
> found 36/32768 points with Q:(0.407423, 0.471799) and r=0.02 | I/O = 9 | in 0.000007 seconds.
> found 39/32768 points with Q:(0.114013, 0.963227) and r=0.02 | I/O = 11 | in 0.000010 seconds.
> found 36/32768 points with Q:(0.867162, 0.482765) and r=0.02 | I/O = 11 | in 0.000010 seconds.
> found 41/32768 points with Q:(0.487552, 0.48448) and r=0.02 | I/O = 11 | in 0.000009 seconds.
> found 47/32768 points with Q:(0.146507, 0.675162) and r=0.02 | I/O = 13 | in 0.000008 seconds.
> found 46/32768 points with Q:(0.7343, 0.620614) and r=0.02 | I/O = 10 | in 0.000007 seconds.
> found 46/32768 points with Q:(0.0734891, 0.630193) and r=0.02 | I/O = 9 | in 0.000008 seconds.
