=====================================================================
testing with 65536 points.

> created 65536 random points in 0.003849 seconds.
> created a mtree with 65536 random points in 0.136627 seconds with height 3.
> found 73/65536 points with Q:(0.523058, 0.170423) and r=0.02 | I/O = 23 | in 0.000040 seconds.
> found 75/65536 points with Q:(0.726971, 0.898371) and r=0.02 | I/O = 18 | in 0.000026 seconds.
> found 73/65536 points with Q:(0.432233, 0.498254) and r=0.02 | I/O = 24 | in 0.000035 seconds.
> found 73/65536 points with Q:(0.688553, 0.586184) and r=0.02 | I/O = 17 | in 0.000023 seconds.
> found 67/65536 points with Q:(0.88301, 0.865984) and r=0.02 | I/O = 22 | in 0.000028 seconds.
> found 90/65536 points with Q:(0.536455, 0.11576) and r=0.02 | I/O = 23 | in 0.000023 seconds.
> found 88/65536 points with Q:(0.703088, 0.670883) and r=0.02 | I/O = 17 | in 0.000018 seconds.
> found 89/65536 points with Q:(0.100836, 0.0295894) and r=0.02 | I/O = 15 | in 0.000017 seconds.
> found 63/65536 points with Q:(0.653824, 0.932067) and r=0.02 | I/O = 16 | in 0.000019 seconds.
> found 74/65536 points with Q:(0.297178, 0.737011) and r=0.02 | I/O = 20 | in 0.000031 seconds.
> found 75/65536 points with Q:(0.731901, 0.155568) and r=0.02 | I/O = 24 | in 0.000030 seconds.
> found 88/65536 points with Q:(0.905394, 0.118446) and r=0.02 | I/O = 23 | in 0.000030 seconds.
> found 76/65536 points with Q:(0.494174, 0.0357245) and r=0.02 | I/O = 20 | in 0.000020 seconds.
> found 81/65536 points with Q:(0.664142, 0.49435) and r=0.02 | I/O = 20 | in 0.000023 seconds.
> found 72/65536 points with Q:(0.821609, 0.886604) and r=0.02 | I/O = 22 | in 0.000021 seconds.
> found 93/65536 points with Q:(0.0570267, 0.155259) and r=0.02 | I/O = 22 | in 0.000026 seconds.
> found 91/65536 points with Q:(0.0536297, 0.344667) and r=0.02 | I/O = 19 | in 0.000022 seconds.
> found 77/65536 points with Q:(0.84292, 0.783998) and r=0.02 | I/O = 14 | in 0.000017 seconds.
> found 91/65536 points with Q:(0.370181, 0.485863) and r=0.02 | I/O = 25 | in 0.000027 seconds.
> found 80/65536 points with Q:(0.351847, 0.531473) and r=0.02 | I/O = 24 | in 0.000018 seconds.
> found 93/65536 points with Q:(0.647233, 0.253191) and r=0.02 | I/O = 26 | in 0.000027 seconds.
