=====================================================================
testing with 1048576 points.

> created 1048576 random points in 0.062384 seconds.
> created a mtree with 1048576 random points in 30.541572 seconds with height 5.
> found 1349/1048576 points with Q:(0.396231, 0.896912) and r=0.02 | I/O = 36 | in 0.000141 seconds.
> found 1321/1048576 points with Q:(0.235622, 0.202083) and r=0.02 | I/O = 42 | in 0.000134 seconds.
> found 1298/1048576 points with Q:(0.341171, 0.20503) and r=0.02 | I/O = 39 | in 0.000100 seconds.
> found 0/1048576 points with Q:(0.0688104, 0.411018) and r=0.02 | I/O = 5 | in 0.000012 seconds.
> found 625/1048576 points with Q:(0.827112, 0.42959) and r=0.02 | I/O = 20 | in 0.000050 seconds.
> found 1334/1048576 points with Q:(0.138902, 0.0213845) and r=0.02 | I/O = 32 | in 0.000092 seconds.
> found 1371/1048576 points with Q:(0.1855, 0.353861) and r=0.02 | I/O = 36 | in 0.000097 seconds.
> found 1287/1048576 points with Q:(0.218554, 0.866301) and r=0.02 | I/O = 44 | in 0.000114 seconds.
> found 1345/1048576 points with Q:(0.572164, 0.408693) and r=0.02 | I/O = 34 | in 0.000094 seconds.
> found 1268/1048576 points with Q:(0.165989, 0.143638) and r=0.02 | I/O = 36 | in 0.000101 seconds.
> found 650/1048576 points with Q:(0.0701081, 0.490424) and r=0.02 | I/O = 24 | in 0.000062 seconds.
> found 1112/1048576 points with Q:(0.295648, 0.869613) and r=0.02 | I/O = 26 | in 0.000075 seconds.
> found 667/1048576 points with Q:(0.158182, 3.02359e-05) and r=0.02 | I/O = 26 | in 0.000055 seconds.
> found 1158/1048576 points with Q:(0.321373, 0.853265) and r=0.02 | I/O = 33 | in 0.000071 seconds.
> found 1311/1048576 points with Q:(0.948647, 0.829993) and r=0.02 | I/O = 33 | in 0.000091 seconds.
> found 0/1048576 points with Q:(0.726905, 0.185956) and r=0.02 | I/O = 5 | in 0.000012 seconds.
> found 1350/1048576 points with Q:(0.388039, 0.344878) and r=0.02 | I/O = 37 | in 0.000104 seconds.
> found 1327/1048576 points with Q:(0.549907, 0.962527) and r=0.02 | I/O = 35 | in 0.000095 seconds.
> found 1354/1048576 points with Q:(0.373545, 0.72921) and r=0.02 | I/O = 37 | in 0.000100 seconds.
> found 1294/1048576 points with Q:(0.1588, 0.618718) and r=0.02 | I/O = 34 | in 0.000093 seconds.
> found 0/1048576 points with Q:(0.640102, 0.200657) and r=0.02 | I/O = 6 | in 0.000009 seconds.
> found 0/1048576 points with Q:(0.554518, 0.297702) and r=0.02 | I/O = 11 | in 0.000022 seconds.
> found 1395/1048576 points with Q:(0.164003, 0.825602) and r=0.02 | I/O = 35 | in 0.000096 seconds.
> found 1302/1048576 points with Q:(0.234295, 0.773072) and r=0.02 | I/O = 37 | in 0.000096 seconds.
> found 1333/1048576 points with Q:(0.91671, 0.736167) and r=0.02 | I/O = 35 | in 0.000097 seconds.
> found 1307/1048576 points with Q:(0.226591, 0.400284) and r=0.02 | I/O = 36 | in 0.000096 seconds.
> found 78/1048576 points with Q:(0.269897, 0.986818) and r=0.02 | I/O = 7 | in 0.000014 seconds.
> found 1202/1048576 points with Q:(0.986848, 0.522238) and r=0.02 | I/O = 27 | in 0.000082 seconds.
> found 1288/1048576 points with Q:(0.375503, 0.428079) and r=0.02 | I/O = 41 | in 0.000105 seconds.
> found 1278/1048576 points with Q:(0.258072, 0.308222) and r=0.02 | I/O = 40 | in 0.000100 seconds.
> found 1281/1048576 points with Q:(0.494178, 0.32415) and r=0.02 | I/O = 40 | in 0.000098 seconds.
> found 1257/1048576 points with Q:(0.669027, 0.984977) and r=0.02 | I/O = 26 | in 0.000075 seconds.
> found 1294/1048576 points with Q:(0.947504, 0.882217) and r=0.02 | I/O = 33 | in 0.000093 seconds.
> found 0/1048576 points with Q:(0.611427, 0.218935) and r=0.02 | I/O = 7 | in 0.000011 seconds.
> found 889/1048576 points with Q:(0.837652, 0.321049) and r=0.02 | I/O = 24 | in 0.000065 seconds.
> found 1347/1048576 points with Q:(0.521707, 0.770227) and r=0.02 | I/O = 36 | in 0.000104 seconds.
> found 197/1048576 points with Q:(0.0679286, 0.477755) and r=0.02 | I/O = 14 | in 0.000036 seconds.
> found 1358/1048576 points with Q:(0.303357, 0.0762248) and r=0.02 | I/O = 32 | in 0.000092 seconds.
> found 1355/1048576 points with Q:(0.849297, 0.231931) and r=0.02 | I/O = 36 | in 0.000101 seconds.
> found 1344/1048576 points with Q:(0.968098, 0.537651) and r=0.02 | I/O = 36 | in 0.000098 seconds.
> found 1363/1048576 points with Q:(0.937936, 0.766007) and r=0.02 | I/O = 37 | in 0.000104 seconds.
> found 0/1048576 points with Q:(0.752825, 0.194689) and r=0.02 | I/O = 6 | in 0.000010 seconds.
