=====================================================================
testing with 2048 points.

> created 2048 random points in 0.000140 seconds.
> created a mtree with 2048 random points in 3.388411 minutes | (203.304685 seconds).
> found 1/2048 points with Q:(0.952529, 0.0599749) and r=0.02 | I/O = 13.
> found 3/2048 points with Q:(0.733139, 0.862406) and r=0.02 | I/O = 13.
> found 1/2048 points with Q:(0.671634, 0.122685) and r=0.02 | I/O = 14.
> found 2/2048 points with Q:(0.210334, 0.865827) and r=0.02 | I/O = 13.
> found 0/2048 points with Q:(0.83715, 0.876233) and r=0.02 | I/O = 13.
> found 3/2048 points with Q:(0.399078, 0.668797) and r=0.02 | I/O = 13.
> found 0/2048 points with Q:(0.0906234, 0.238621) and r=0.02 | I/O = 13.
> found 2/2048 points with Q:(0.742017, 0.714405) and r=0.02 | I/O = 13.
> found 3/2048 points with Q:(0.687001, 0.642325) and r=0.02 | I/O = 13.
> found 3/2048 points with Q:(0.539689, 0.799256) and r=0.02 | I/O = 13.
> found 2/2048 points with Q:(0.213904, 0.855849) and r=0.02 | I/O = 13.
> found 3/2048 points with Q:(0.313612, 0.545429) and r=0.02 | I/O = 14.
> found 2/2048 points with Q:(0.36007, 0.960151) and r=0.02 | I/O = 13.
> found 1/2048 points with Q:(0.70201, 0.48933) and r=0.02 | I/O = 13.
> found 3/2048 points with Q:(0.21748, 0.0493724) and r=0.02 | I/O = 13.
> found 3/2048 points with Q:(0.109347, 0.955571) and r=0.02 | I/O = 13.
> found 2/2048 points with Q:(0.817977, 0.170009) and r=0.02 | I/O = 14.
> found 4/2048 points with Q:(0.292693, 0.842486) and r=0.02 | I/O = 13.
> found 0/2048 points with Q:(0.708313, 0.489611) and r=0.02 | I/O = 13.
> found 2/2048 points with Q:(0.365843, 0.503027) and r=0.02 | I/O = 14.
> found 2/2048 points with Q:(0.171824, 0.545463) and r=0.02 | I/O = 14.
> found 5/2048 points with Q:(0.784084, 0.764921) and r=0.02 | I/O = 13.
> found 6/2048 points with Q:(0.479326, 0.262447) and r=0.02 | I/O = 14.
> found 1/2048 points with Q:(0.904772, 0.526101) and r=0.02 | I/O = 13.
> found 0/2048 points with Q:(0.325357, 0.166327) and r=0.02 | I/O = 13.
> found 2/2048 points with Q:(0.0221759, 0.444461) and r=0.02 | I/O = 13.
> found 3/2048 points with Q:(0.989891, 0.539261) and r=0.02 | I/O = 13.
> found 2/2048 points with Q:(0.499412, 0.335788) and r=0.02 | I/O = 14.
> found 2/2048 points with Q:(0.825119, 0.34996) and r=0.02 | I/O = 13.
> found 4/2048 points with Q:(0.399333, 0.201422) and r=0.02 | I/O = 13.
> found 3/2048 points with Q:(0.156993, 0.0425985) and r=0.02 | I/O = 13.
> found 2/2048 points with Q:(0.212607, 0.50868) and r=0.02 | I/O = 14.
> found 2/2048 points with Q:(0.351166, 0.97497) and r=0.02 | I/O = 13.
> found 2/2048 points with Q:(0.46458, 0.505301) and r=0.02 | I/O = 14.
> found 3/2048 points with Q:(0.00832779, 0.0594793) and r=0.02 | I/O = 10.
> found 4/2048 points with Q:(0.604943, 0.830424) and r=0.02 | I/O = 13.
> found 3/2048 points with Q:(0.595345, 0.180152) and r=0.02 | I/O = 14.
> found 3/2048 points with Q:(0.442599, 0.389027) and r=0.02 | I/O = 14.
> found 2/2048 points with Q:(0.915128, 0.0746712) and r=0.02 | I/O = 14.
> found 1/2048 points with Q:(0.240999, 0.347371) and r=0.02 | I/O = 13.
> found 2/2048 points with Q:(0.791832, 0.240485) and r=0.02 | I/O = 14.
> found 3/2048 points with Q:(0.779746, 0.263175) and r=0.02 | I/O = 14.
> found 2/2048 points with Q:(0.598963, 0.781723) and r=0.02 | I/O = 13.
> found 1/2048 points with Q:(0.131683, 0.279158) and r=0.02 | I/O = 13.
> found 1/2048 points with Q:(0.48058, 0.424082) and r=0.02 | I/O = 14.
> found 5/2048 points with Q:(0.46668, 0.531016) and r=0.02 | I/O = 14.
> found 3/2048 points with Q:(0.0396961, 0.637572) and r=0.02 | I/O = 12.
> found 3/2048 points with Q:(0.612542, 0.679287) and r=0.02 | I/O = 13.
> found 3/2048 points with Q:(0.184588, 0.390862) and r=0.02 | I/O = 13.
> found 0/2048 points with Q:(0.450341, 0.0771222) and r=0.02 | I/O = 13.
> found 3/2048 points with Q:(0.907546, 0.192916) and r=0.02 | I/O = 13.
> found 0/2048 points with Q:(0.373067, 0.0552843) and r=0.02 | I/O = 13.
> found 1/2048 points with Q:(0.444311, 0.502891) and r=0.02 | I/O = 14.
> found 2/2048 points with Q:(0.577562, 0.815666) and r=0.02 | I/O = 13.
> found 3/2048 points with Q:(0.163037, 0.35944) and r=0.02 | I/O = 13.
> found 4/2048 points with Q:(0.599925, 0.818561) and r=0.02 | I/O = 13.
> found 4/2048 points with Q:(0.0817355, 0.95487) and r=0.02 | I/O = 13.
> found 1/2048 points with Q:(0.736593, 0.379671) and r=0.02 | I/O = 14.
> found 2/2048 points with Q:(0.658829, 0.680698) and r=0.02 | I/O = 13.
> found 2/2048 points with Q:(0.10478, 0.868276) and r=0.02 | I/O = 13.
> found 2/2048 points with Q:(0.399292, 0.139409) and r=0.02 | I/O = 13.
> found 1/2048 points with Q:(0.776981, 0.57146) and r=0.02 | I/O = 13.
> found 3/2048 points with Q:(0.250747, 0.438988) and r=0.02 | I/O = 14.
> found 0/2048 points with Q:(0.829851, 0.389523) and r=0.02 | I/O = 13.
> found 4/2048 points with Q:(0.466646, 0.435335) and r=0.02 | I/O = 14.
> found 2/2048 points with Q:(0.628251, 0.280192) and r=0.02 | I/O = 14.
> found 5/2048 points with Q:(0.335476, 0.374192) and r=0.02 | I/O = 14.
> found 3/2048 points with Q:(0.877083, 0.00131827) and r=0.02 | I/O = 13.
> found 0/2048 points with Q:(0.816985, 0.779788) and r=0.02 | I/O = 13.
> found 2/2048 points with Q:(0.139227, 0.454645) and r=0.02 | I/O = 13.
> found 4/2048 points with Q:(0.273206, 0.980022) and r=0.02 | I/O = 13.
> found 3/2048 points with Q:(0.934892, 0.739152) and r=0.02 | I/O = 13.
> found 1/2048 points with Q:(0.118824, 0.354941) and r=0.02 | I/O = 13.
> found 4/2048 points with Q:(0.0356397, 0.671484) and r=0.02 | I/O = 12.
> found 2/2048 points with Q:(0.53976, 0.777653) and r=0.02 | I/O = 13.
> found 3/2048 points with Q:(0.917062, 0.14042) and r=0.02 | I/O = 13.
> found 2/2048 points with Q:(0.71188, 0.939053) and r=0.02 | I/O = 13.
> found 2/2048 points with Q:(0.378041, 0.694044) and r=0.02 | I/O = 13.
> found 3/2048 points with Q:(0.083567, 0.962627) and r=0.02 | I/O = 13.
> found 3/2048 points with Q:(0.397962, 0.207892) and r=0.02 | I/O = 13.
> found 2/2048 points with Q:(0.488084, 0.550213) and r=0.02 | I/O = 14.
> found 3/2048 points with Q:(0.924404, 0.0262128) and r=0.02 | I/O = 13.
> found 1/2048 points with Q:(0.027531, 0.82356) and r=0.02 | I/O = 12.
> found 4/2048 points with Q:(0.603348, 0.801487) and r=0.02 | I/O = 13.
> found 1/2048 points with Q:(0.256132, 0.844516) and r=0.02 | I/O = 13.
> found 4/2048 points with Q:(0.824538, 0.742575) and r=0.02 | I/O = 13.
> found 4/2048 points with Q:(0.481728, 0.529338) and r=0.02 | I/O = 14.
> found 0/2048 points with Q:(0.884279, 0.759429) and r=0.02 | I/O = 13.
> found 3/2048 points with Q:(0.430914, 0.600551) and r=0.02 | I/O = 13.
> found 2/2048 points with Q:(0.378204, 0.919919) and r=0.02 | I/O = 13.
> found 3/2048 points with Q:(0.0603384, 0.970674) and r=0.02 | I/O = 12.
> found 2/2048 points with Q:(0.909727, 0.295266) and r=0.02 | I/O = 13.
> found 4/2048 points with Q:(0.98931, 0.772218) and r=0.02 | I/O = 13.
> found 4/2048 points with Q:(0.734845, 0.287768) and r=0.02 | I/O = 14.
> found 5/2048 points with Q:(0.49566, 0.0728771) and r=0.02 | I/O = 13.
> found 4/2048 points with Q:(0.62309, 0.132807) and r=0.02 | I/O = 14.
