=====================================================================
testing with 4096 points.

> created 4096 random points in 0.000245 seconds.
> created a mtree with 4096 random points in 20.583828 minutes | (1235.029693 seconds).
> found 3/4096 points with Q:(0.0201081, 0.863505) and r=0.02 | I/O = 25.
> found 7/4096 points with Q:(0.477334, 0.294675) and r=0.02 | I/O = 26.
> found 6/4096 points with Q:(0.953065, 0.401954) and r=0.02 | I/O = 25.
> found 2/4096 points with Q:(0.788657, 0.529869) and r=0.02 | I/O = 26.
> found 0/4096 points with Q:(0.431137, 0.584162) and r=0.02 | I/O = 26.
> found 4/4096 points with Q:(0.31353, 0.133576) and r=0.02 | I/O = 26.
> found 10/4096 points with Q:(0.776, 0.934911) and r=0.02 | I/O = 25.
> found 1/4096 points with Q:(0.124899, 0.408126) and r=0.02 | I/O = 26.
> found 9/4096 points with Q:(0.436716, 0.202835) and r=0.02 | I/O = 26.
> found 4/4096 points with Q:(0.661644, 0.287858) and r=0.02 | I/O = 26.
> found 6/4096 points with Q:(0.842842, 0.22247) and r=0.02 | I/O = 26.
> found 5/4096 points with Q:(0.986144, 0.406152) and r=0.02 | I/O = 25.
> found 5/4096 points with Q:(0.82321, 0.712329) and r=0.02 | I/O = 25.
> found 5/4096 points with Q:(0.725761, 0.424241) and r=0.02 | I/O = 26.
> found 3/4096 points with Q:(0.581196, 0.18923) and r=0.02 | I/O = 26.
> found 6/4096 points with Q:(0.0527343, 0.700617) and r=0.02 | I/O = 26.
> found 5/4096 points with Q:(0.995292, 0.601304) and r=0.02 | I/O = 25.
> found 3/4096 points with Q:(0.00325731, 0.530069) and r=0.02 | I/O = 26.
> found 3/4096 points with Q:(0.0599379, 0.948357) and r=0.02 | I/O = 24.
> found 3/4096 points with Q:(0.532519, 0.791914) and r=0.02 | I/O = 25.
> found 4/4096 points with Q:(0.92549, 0.491075) and r=0.02 | I/O = 25.
> found 8/4096 points with Q:(0.425986, 0.846049) and r=0.02 | I/O = 25.
> found 5/4096 points with Q:(0.254176, 0.70149) and r=0.02 | I/O = 26.
> found 5/4096 points with Q:(0.904325, 0.550885) and r=0.02 | I/O = 25.

percentage of foundness 0.113281% | avg I/O: 0.625488



